Index	Measured	Classical VP	Regularized VP
1	15.996	15.59804370564632	15.621439757465518
2	15.294	15.942862832070642	15.963068718264518
3	15.901	15.120909361092073	15.239202834006244
4	16.3	16.349244874266454	16.343840528018458
5	16.546	16.570215827651158	16.612166885773703
6	17.495	16.693247719815638	16.704808885917508
7	17.666	18.019580618860555	18.004592399441457
8	16.964	17.476684632201586	17.538358033210056
9	16.148	16.59639097031739	16.58821294448851
10	15.427	15.674457587296175	15.679578146589156
11	14.839	14.875694840731366	14.895229873712175
12	14.269	12.512014022825525	15.212867318526788
13	14.118	14.070006291729309	14.085382226559021
14	14.156	14.243349237739736	14.247670106281793
15	14.08	14.603675773539502	14.603628423833095
16	16.414	14.42924058126762	14.45521547346429
17	18.216	17.489515516492254	17.493190397250906
18	19.298	18.941957169140533	18.977267716347505
19	18.824	19.384571794668563	19.412347029742396
20	18.368	18.342578838114928	18.350772132132125
21	17.875	17.437680354848045	17.477200794580423
22	16.869	17.152304969530395	17.13306533019183
23	16.129	15.684635969931806	15.722494102341312
24	15.712	15.335836639828187	15.319688189023802
25	15.617	15.450822811724128	15.450442375205721
26	15.161	15.633309267001323	15.66752884503693
27	16.148	15.341572422992062	15.875883129049862
28	17.609	16.718490606873463	16.748809972101693
29	18.406	18.455534832049096	18.467391087699013
30	18.463	18.71307442562408	18.74944745315588
31	18.254	18.397723079954034	18.40826987182762
32	17.609	17.850361544234772	17.874027900090155
33	16.812	17.04083984832024	17.041173876029298
34	15.712	16.095569215401337	16.10464863497729
35	15.066	14.926552320173439	14.934374163522968
36	14.763	14.467657004608412	15.169209249450475
37	14.877	15.408212176187565	15.333237077531393
38	15.37	23.298697346893576	16.248144405977417
39	15.731	15.930784946823655	15.963710214333679
40	15.996	16.216320294198535	16.24019925891121
41	16.224	16.37833194023956	16.388502699097533
42	16.186	16.446998472387083	16.457249886056296
43	16.015	16.119184201564483	16.129169440874723
44	15.446	15.840661236095915	15.833910535535212
45	14.573	15.068292193348324	15.071806736194171
46	14.08	14.142003050952214	14.16714409729973
47	13.226	13.91938043925345	13.913505633430148
48	12.979	13.039441037631775	13.051991820026469
49	14.459	13.140926323407706	13.135904879970017
50	15.655	15.321493815817448	15.318735944520046
51	15.636	16.301867666699497	16.337440403605616
52	17.154	15.830642253643173	15.843835404797924
53	17.381	17.67092242301564	17.6773400861917
54	17.116	17.23686771860596	17.277934841453767
55	16.736	16.579104991457296	16.58059907668219
56	16.167	16.11749374136013	16.11352859948852
57	15.92	15.281702992622536	15.308717435199098
58	15.408	15.647524710431028	15.606470460016359
59	15.066	14.88575847133896	14.944261175876836
60	15.769	15.432259811993191	15.126992966618902
61	15.787	16.245195439944997	16.235072994977095
62	15.863	15.844356007297142	15.900622779235778
63	17.154	16.014872065929552	16.024210896746286
64	18.178	17.693232077755916	17.699182747878737
65	18.653	18.366351385422888	18.40572454372349
66	18.615	18.590348755273478	18.59676596849065
67	18.406	18.146895534702285	18.176621256326236
68	17.837	17.78656124193176	17.806487518608723
69	17.078	17.241716804559776	17.241854095227655
70	16.471	16.248935247509003	16.283923888863626
71	16.224	15.921729216928993	15.924785725819056
72	16.395	16.064136865875067	16.067120229170037
73	17.4	16.487501085515323	16.51278405197497
74	18.672	17.839939745146907	17.871027007800613
75	19.089	19.18633176291427	19.221998420861205
76	19.829	19.208259935934148	19.245065322992442
77	20	19.876892638768012	19.899155102580586
78	19.943	19.670997039714226	19.704677415726866
79	19.526	19.320760367669184	19.342100625011433
80	18.975	18.809770056496188	18.816019056736724
81	18.463	18.104665975817486	18.134749708703712
82	17.268	17.926092077877893	17.925659830137235
83	16.414	16.592918640134236	16.63201624907139
84	16.414	16.04840703662518	16.06833060887581
85	16.755	16.647366601618288	16.656209373158987
86	16.736	17.104650500831458	17.137267290755997
87	17.173	17.09691624771421	17.110742675730013
88	17.647	17.598408022577782	17.618422516568696
89	18.216	18.061178098794766	18.076838806333665
90	18.767	18.467865364222067	18.486785531312442
